name,url,category,enabled,showorder,fullname
Wikipedia  - Recent changes [en],http://en.wikipedia.org/w/index.php?title=Special:RecentChanges&feed=atom,wiki,true,1,Wikipedia  - Recent changes [en]
On a New Road,http://nighthacks.com/roller/jag/feed/entries/rss,blog,true,1,On a New Road (Games Gosling)
